,Equip Local,Equip Visitant,Resultat,Competició,Jornada,Data,Gols Local,Gols Visitant,Resultat per FCB
0,FC Barcelona,Bayern,2-0,Amistosos,Jornada 0,2011-07-27,2,0,Guanya
1,FC Barcelona,Man. United,1-2,Amistosos,Jornada 0,2011-07-30,1,2,Perd
2,Girona,FC Barcelona,1-2,Amistosos,Jornada 0,2011-08-08,1,2,Guanya
3,Espanyol,FC Barcelona,3-0,Amistosos,Jornada 0,2011-08-09,3,0,Perd
4,FC Barcelona,Reial Madrid,3-2,Supercopa d'Espanya,Final - Tornada,2011-08-17,3,2,Guanya
5,FC Barcelona,Nàpols,5-0,Trofeu Joan Gamper,Jornada 0,2011-08-22,5,0,Guanya
6,FC Barcelona,Porto,2-0,Supercopa d'Europa,Jornada 0,2011-08-26,2,0,Guanya
7,FC Barcelona,Vila-real,5-0,La Liga,Jornada 2,2011-08-29,5,0,Guanya
8,R. Societat,FC Barcelona,2-2,La Liga,Jornada 3,2011-09-10,2,2,Empata
9,FC Barcelona,AC Milan,2-2,Lliga de Campions,Fase de grups - H,2011-09-13,2,2,Empata
10,FC Barcelona,Osasuna,8-0,La Liga,Jornada 4,2011-09-17,8,0,Guanya
11,València,FC Barcelona,2-2,La Liga,Jornada 5,2011-09-21,2,2,Empata
12,FC Barcelona,At. Madrid,5-0,La Liga,Jornada 6,2011-09-24,5,0,Guanya
13,Bate Boríssov,FC Barcelona,0-5,Lliga de Campions,Fase de grups - H,2011-09-28,0,5,Guanya
14,Sporting,FC Barcelona,0-1,La Liga,Jornada 7,2011-10-02,0,1,Guanya
15,FC Barcelona,Racing Santander,3-0,La Liga,Jornada 8,2011-10-15,3,0,Guanya
16,FC Barcelona,PLN,2-0,Lliga de Campions,Fase de grups - H,2011-10-19,2,0,Guanya
17,FC Barcelona,Sevilla,0-0,La Liga,Jornada 9,2011-10-22,0,0,Empata
18,Granada,FC Barcelona,0-1,La Liga,Jornada 10,2011-10-25,0,1,Guanya
19,FC Barcelona,Mallorca,5-0,La Liga,Jornada 11,2011-10-29,5,0,Guanya
20,PLN,FC Barcelona,0-4,Lliga de Campions,Fase de grups - H,2011-11-01,0,4,Guanya
21,Ath. Club,FC Barcelona,2-2,La Liga,Jornada 12,2011-11-06,2,2,Empata
22,L'Hospitalet,FC Barcelona,0-1,Copa del Rei,4a ronda,2011-11-09,0,1,Guanya
23,FC Barcelona,Reial Saragossa,4-0,La Liga,Jornada 13,2011-11-19,4,0,Guanya
24,AC Milan,FC Barcelona,2-3,Lliga de Campions,Fase de grups - H,2011-11-23,2,3,Guanya
25,Getafe,FC Barcelona,1-0,La Liga,Jornada 14,2011-11-26,1,0,Perd
26,FC Barcelona,Rayo Vallecano,4-0,La Liga,Jornada 17,2011-11-29,4,0,Guanya
27,FC Barcelona,Llevant,5-0,La Liga,Jornada 15,2011-12-03,5,0,Guanya
28,FC Barcelona,Bate Boríssov,4-0,Lliga de Campions,Fase de grups - H,2011-12-06,4,0,Guanya
29,Reial Madrid,FC Barcelona,1-3,La Liga,Jornada 16,2011-12-10,1,3,Guanya
30,ALS,FC Barcelona,0-4,Mundial de Clubs,Semifinal,2011-12-15,0,4,Guanya
31,SAN,FC Barcelona,0-4,Mundial de Clubs,Final,2011-12-18,0,4,Guanya
32,FC Barcelona,L'Hospitalet,9-0,Copa del Rei,4a ronda,2011-12-22,9,0,Guanya
33,FC Barcelona,Osasuna,4-0,Copa del Rei,Vuitens,2012-01-04,4,0,Guanya
34,Espanyol,FC Barcelona,1-1,La Liga,Jornada 18,2012-01-08,1,1,Empata
35,Osasuna,FC Barcelona,1-2,Copa del Rei,Vuitens,2012-01-12,1,2,Guanya
36,FC Barcelona,Betis,4-2,La Liga,Jornada 19,2012-01-15,4,2,Guanya
37,Reial Madrid,FC Barcelona,1-2,Copa del Rei,Quarts,2012-01-18,1,2,Guanya
38,FC Barcelona,Reial Madrid,2-2,Copa del Rei,Quarts,2012-01-25,2,2,Empata
39,Vila-real,FC Barcelona,0-0,La Liga,Jornada 21,2012-01-28,0,0,Empata
40,València,FC Barcelona,1-1,Copa del Rei,Semifinal,2012-02-01,1,1,Empata
41,FC Barcelona,R. Societat,2-1,La Liga,Jornada 22,2012-02-04,2,1,Guanya
42,FC Barcelona,València,2-0,Copa del Rei,Semifinal,2012-02-08,2,0,Guanya
43,Osasuna,FC Barcelona,3-2,La Liga,Jornada 23,2012-02-11,3,2,Perd
44,B. Leverkusen,FC Barcelona,1-3,Lliga de Campions,Vuitens,2012-02-14,1,3,Guanya
45,FC Barcelona,València,5-1,La Liga,Jornada 24,2012-02-19,5,1,Guanya
46,At. Madrid,FC Barcelona,1-2,La Liga,Jornada 25,2012-02-26,1,2,Guanya
47,FC Barcelona,Sporting,3-1,La Liga,Jornada 26,2012-03-03,3,1,Guanya
48,FC Barcelona,B. Leverkusen,7-1,Lliga de Campions,Vuitens,2012-03-07,7,1,Guanya
49,Racing Santander,FC Barcelona,0-2,La Liga,Jornada 27,2012-03-11,0,2,Guanya
50,Sevilla,FC Barcelona,0-2,La Liga,Jornada 28,2012-03-17,0,2,Guanya
51,FC Barcelona,Granada,5-3,La Liga,Jornada 29,2012-03-20,5,3,Guanya
52,Mallorca,FC Barcelona,0-2,La Liga,Jornada 30,2012-03-24,0,2,Guanya
53,AC Milan,FC Barcelona,0-0,Lliga de Campions,Quarts,2012-03-28,0,0,Empata
54,FC Barcelona,Ath. Club,2-0,La Liga,Jornada 31,2012-03-31,2,0,Guanya
55,FC Barcelona,AC Milan,3-1,Lliga de Campions,Quarts,2012-04-03,3,1,Guanya
56,Reial Saragossa,FC Barcelona,1-4,La Liga,Jornada 32,2012-04-07,1,4,Guanya
57,FC Barcelona,Getafe,4-0,La Liga,Jornada 33,2012-04-10,4,0,Guanya
58,Llevant,FC Barcelona,1-2,La Liga,Jornada 34,2012-04-14,1,2,Guanya
59,Chelsea,FC Barcelona,1-0,Lliga de Campions,Semifinal,2012-04-18,1,0,Perd
60,FC Barcelona,Reial Madrid,1-2,La Liga,Jornada 35,2012-04-21,1,2,Perd
61,FC Barcelona,Chelsea,2-2,Lliga de Campions,Semifinal,2012-04-24,2,2,Empata
62,Rayo Vallecano,FC Barcelona,0-7,La Liga,Jornada 36,2012-04-29,0,7,Guanya
63,FC Barcelona,Màlaga,4-1,La Liga,Jornada 20,2012-05-02,4,1,Guanya
64,FC Barcelona,Espanyol,4-0,La Liga,Jornada 37,2012-05-05,4,0,Guanya
65,Betis,FC Barcelona,2-2,La Liga,Jornada 38,2012-05-12,2,2,Empata
66,Ath. Club,FC Barcelona,0-3,Copa del Rei,Final,2012-05-25,0,3,Guanya
67,HBG,FC Barcelona,1-2,Amistosos,Jornada 0,2012-07-24,1,2,Guanya
68,Raja Club Ath.,FC Barcelona,0-8,Amistosos,Jornada 0,2012-07-28,0,8,Guanya
69,PSG,FC Barcelona,2-2,Amistosos,Jornada 0,2012-08-04,2,2,Empata
70,Man. United,FC Barcelona,0-0,Amistosos,Jornada 0,2012-08-08,0,0,Empata
71,Dinamo de Bucarest,FC Barcelona,0-2,Amistosos,Jornada 0,2012-08-11,0,2,Guanya
72,FC Barcelona,R. Societat,5-1,La Liga,Jornada 1,2012-08-19,5,1,Guanya
73,FC Barcelona,Sampdoria,0-1,Trofeu Joan Gamper,Jornada 0,2012-08-20,0,1,Perd
74,FC Barcelona,Reial Madrid,3-2,Supercopa d'Espanya,Final,2012-08-23,3,2,Guanya
75,Osasuna,FC Barcelona,1-2,La Liga,Jornada 2,2012-08-26,1,2,Guanya
76,Reial Madrid,FC Barcelona,2-1,Supercopa d'Espanya,Final,2012-08-29,2,1,Perd
